Plant,Temperature,Minimum Humidity,Maximum Humidity, Minimum Soil Moisture,Maximum Soil Moisture,Minimum pH Level,Maximum pH Level,Disease/Pest
Rice crops,23,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
Rice crops,24,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
Rice crops,25,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
Rice crops,26,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
Rice crops,27,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
Rice crops,28,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
Rice crops,29,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
Rice crops,30,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
Rice crops,31,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
Rice crops,32,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
Rice crops,27,0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease
Rice crops,28,0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease
Rice crops,29,0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease
Rice crops,30,0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease
Rice crops,31,0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease
Rice crops,32,0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease
Rice crops,33,0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease
Rice crops,34,0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease
Rice crops,35,0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease
Rice crops,30,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald
Rice crops,31,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald
Rice crops,32,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald
Rice crops,33,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald
Rice crops,34,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald
Rice crops,35,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald
Rice crops,36,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald
Rice crops,37,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald
Rice crops,38,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald
Rice crops,20,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies
Rice crops,21,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies
Rice crops,22,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies
Rice crops,23,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies
Rice crops,24,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies
Rice crops,25,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies
Rice crops,26,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies
Rice crops,27,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies
Rice crops,28,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies
Rice crops,29,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies
Rice crops,30,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies
Rice crops,24,0.75,0.92,0.58,0.7,"6,2",10,Rice hispa
Rice crops,25,0.75,0.92,0.58,0.7,"6,2",10,Rice hispa
Rice crops,26,0.75,0.92,0.58,0.7,"6,2",10,Rice hispa
Rice crops,27,0.75,0.92,0.58,0.7,"6,2",10,Rice hispa
Rice crops,28,0.75,0.92,0.58,0.7,"6,2",10,Rice hispa
Rice crops,29,0.75,0.92,0.58,0.7,"6,2",10,Rice hispa
Rice crops,30,0.75,0.92,0.58,0.7,"6,2",10,Rice hispa
Rice crops,31,0.75,0.92,0.58,0.7,"6,2",10,Rice hispa
Rice crops,32,0.75,0.92,0.58,0.7,"6,2",10,Rice hispa
Rice crops,33,0.75,0.92,0.58,0.7,"6,2",10,Rice hispa
Rice crops,34,0.75,0.92,0.58,0.7,"6,2",10,Rice hispa
Rice crops,20,0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs
Rice crops,21,0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs
Rice crops,22,0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs
Rice crops,23,0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs
Rice crops,24,0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs
Rice crops,25,0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs
Rice crops,26,0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs
Rice crops,27,0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs
Rice crops,28,0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs
Rice crops,29,0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs
Rice crops,30,0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs
Rice crops,18,0.8,1,0.4,0.6,7,8.4,Udbatta disease
Rice crops,19,0.8,1,0.4,0.6,7,8.4,Udbatta disease
Rice crops,20,0.8,1,0.4,0.6,7,8.4,Udbatta disease
Rice crops,21,0.8,1,0.4,0.6,7,8.4,Udbatta disease
Rice crops,22,0.8,1,0.4,0.6,7,8.4,Udbatta disease
Rice crops,23,0.8,1,0.4,0.6,7,8.4,Udbatta disease
Rice crops,24,0.8,1,0.4,0.6,7,8.4,Udbatta disease
Rice crops,25,0.8,1,0.4,0.6,7,8.4,Udbatta disease
Rice crops,26,0.8,1,0.4,0.6,7,8.4,Udbatta disease
Rice crops,27,0.8,1,0.4,0.6,7,8.4,Udbatta disease
Rice crops,28,0.8,1,0.4,0.6,7,8.4,Udbatta disease
Rice crops,29,0.8,1,0.4,0.6,7,8.4,Udbatta disease
Rice crops,30,0.8,1,0.4,0.6,7,8.4,Udbatta disease
Rice crops,29,0.85,0.85,0.7,0.8,5,8,Whorl Maggot
Rice crops,30,0.85,0.85,0.7,0.8,5,8,Whorl Maggot
Rice crops,31,0.85,0.85,0.7,0.8,5,8,Whorl Maggot
Rice crops,32,0.85,0.85,0.7,0.8,5,8,Whorl Maggot
Rice crops,33,0.85,0.85,0.7,0.8,5,8,Whorl Maggot
Rice crops,25,0.8,0.8,0.5,0.63,4.5,7.5,Leaffolder
Rice crops,26,0.8,0.8,0.5,0.63,4.5,7.5,Leaffolder
Rice crops,27,0.8,0.8,0.5,0.63,4.5,7.5,Leaffolder
Rice crops,28,0.8,0.8,0.5,0.63,4.5,7.5,Leaffolder
Rice crops,11,0.8,0.8,0.5,0.63,4.5,7.5,Leaffolder
Rice crops,12,0.85,0.85,0.7,0.8,6,7.5,Armyworm
Rice crops,13,0.85,0.85,0.7,0.8,6,7.5,Armyworm
Rice crops,14,0.85,0.85,0.7,0.8,6,7.5,Armyworm
Rice crops,28,0.85,0.85,0.7,0.8,6,7.5,Armyworm
Rice crops,29,0.85,0.85,0.7,0.8,6,7.5,Armyworm
Rice crops,30,0.85,0.85,0.7,0.8,6,7.5,Armyworm
Rice crops,18,0.8,0.8,0.59,0.59,5.8,6.5,Green Leaf Hopper
Rice crops,19,0.8,0.8,0.59,0.59,5.8,6.5,Green Leaf Hopper
Rice crops,20,0.8,0.8,0.59,0.59,5.8,6.5,Green Leaf Hopper
Rice crops,21,0.8,0.8,0.59,0.59,5.8,6.5,Green Leaf Hopper
Rice crops,22,0.8,0.8,0.59,0.59,5.8,6.5,Green Leaf Hopper
Rice crops,23,0.8,0.8,0.59,0.59,5.8,6.5,Green Leaf Hopper
Rice crops,24,0.8,0.8,0.59,0.59,5.8,6.5,Green Leaf Hopper
Rice crops,25,0.8,0.8,0.59,0.59,5.8,6.5,Green Leaf Hopper
Rice crops,26,0.8,0.8,0.59,0.59,5.8,6.5,Green Leaf Hopper
Rice crops,27,0.8,0.8,0.59,0.59,5.8,6.5,Green Leaf Hopper
Rice crops,28,0.8,0.8,0.59,0.59,5.8,6.5,Green Leaf Hopper
Rice crops,29,0.8,0.8,0.59,0.59,5.8,6.5,Green Leaf Hopper
Rice crops,30,0.8,0.8,0.59,0.59,5.8,6.5,Green Leaf Hopper
Rice crops,31,0.8,0.8,0.59,0.59,5.8,6.5,Green Leaf Hopper
Rice crops,32,0.8,0.8,0.59,0.59,5.8,6.5,Green Leaf Hopper
Rice crops,30,0.5,0.8,0.71,0.83,5.9,8.1,Stink Bug
Rice crops,25,0.6,0.8,0.41,0.58,6.5,7,Stem Borer 
Rice crops,26,0.6,0.8,0.41,0.58,6.5,7,Stem Borer 
Rice crops,27,0.6,0.8,0.41,0.58,6.5,7,Stem Borer 
Rice crops,28,0.6,0.8,0.41,0.58,6.5,7,Stem Borer 
Rice crops,29,0.6,0.8,0.41,0.58,6.5,7,Stem Borer 
Rice crops,30,0.6,0.8,0.41,0.58,6.5,7,Stem Borer 
Rice crops,29,0.6,0.8,0.41,0.58,6.5,7,Stem Borer 
Rice crops,30,0.6,0.8,0.41,0.58,6.5,7,Stem Borer 
Rice crops,31,0.6,0.8,0.41,0.58,6.5,7,Stem Borer 
Rice crops,32,0.6,0.8,0.41,0.58,6.5,7,Stem Borer
Rice crops,25,0.9,0.9,0.4,0.6,5.5,7.5,Black Bug 
Rice crops,26,0.9,0.9,0.4,0.6,5.5,7.5,Black Bug 
Rice crops,27,0.9,0.9,0.4,0.6,5.5,7.5,Black Bug 
Rice crops,28,0.9,0.9,0.4,0.6,5.5,7.5,Black Bug 
Rice crops,29,0.9,0.9,0.4,0.6,5.5,7.5,Black Bug 
Rice crops,30,0.9,0.9,0.4,0.6,5.5,7.5,Black Bug 
Rice crops,29,0.9,0.9,0.4,0.6,5.5,7.5,Black Bug 
Rice crops,30,0.9,0.9,0.4,0.6,5.5,7.5,Black Bug 
Rice crops,20,0.85,0.85,0.8,1,6,7.8,Septoria Tritici Blotch
Rice crops,21,0.85,0.85,0.8,1,6,7.8,Septoria Tritici Blotch
Rice crops,22,0.85,0.85,0.8,1,6,7.8,Septoria Tritici Blotch
Rice crops,23,0.85,0.85,0.8,1,6,7.8,Septoria Tritici Blotch
Rice crops,24,0.85,0.85,0.8,1,6,7.8,Septoria Tritici Blotch
Rice crops,25,0.85,0.85,0.8,1,6,7.8,Septoria Tritici Blotch
Rice crops,15,0.9,0.9,0.1062,0.2684,2.5,9.8,Gall Midge
Rice crops,16,0.9,0.9,0.1062,0.2684,2.5,9.8,Gall Midge
Rice crops,17,0.9,0.9,0.1062,0.2684,2.5,9.8,Gall Midge
Rice crops,18,0.9,0.9,0.1062,0.2684,2.5,9.8,Gall Midge
Rice crops,19,0.9,0.9,0.1062,0.2684,2.5,9.8,Gall Midge
Rice crops,20,0.9,0.9,0.1062,0.2684,2.5,9.8,Gall Midge
Rice crops,28,0.5,0.55,0.5,1,6,8.5,Rice Ragged Stunt Virus
Rice crops,29,0.5,0.55,0.5,1,6,8.5,Rice Ragged Stunt Virus
Rice crops,30,0.5,0.55,0.5,1,6,8.5,Rice Ragged Stunt Virus
Rice crops,31,0.5,0.55,0.5,1,6,8.5,Rice Ragged Stunt Virus
Rice crops,32,0.5,0.55,0.5,1,6,8.5,Rice Ragged Stunt Virus
Rice crops,33,0.5,0.55,0.5,1,6,8.5,Rice Ragged Stunt Virus
Rice crops,34,0.5,0.55,0.5,1,6,8.5,Rice Ragged Stunt Virus
Rice crops,27,0.8,0.82,0.25,0.5,4,7.5,Defoliators
Rice crops,28,0.8,0.82,0.25,0.5,4,7.5,Defoliators
Rice crops,14,0.75,0.8,0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
Rice crops,15,0.75,0.8,0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
Rice crops,16,0.75,0.8,0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
Rice crops,17,0.75,0.8,0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
Rice crops,18,0.75,0.8,0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
Rice crops,19,0.75,0.8,0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
Rice crops,20,0.75,0.8,0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
Rice crops,21,0.75,0.8,0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
Rice crops,22,0.75,0.8,-0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
Rice crops,23,0.75,0.8,0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
Rice crops,24,0.75,0.8,0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
Rice crops,25,0.75,0.8,0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
Rice crops,26,0.75,0.8,0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
Rice crops,27,0.75,0.8,0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
Rice crops,28,0.75,0.8,0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
Rice crops,29,0.75,0.8,0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
Rice crops,30,0.75,0.8,0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
Rice crops,31,0.75,0.8,0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
Rice crops,32,0.75,0.8,0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
Rice crops,33,0.75,0.8,0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
Rice crops,34,0.75,0.8,0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
Rice crops,24,0.9,0.9,0.1,0.2,4.5,8,Short Horned Grasshopper
Rice crops,25,0.9,0.9,0.1,0.2,4.5,8,Short Horned Grasshopper
Rice crops,26,0.9,0.9,0.1,0.2,4.5,8,Short Horned Grasshopper
Rice crops,27,0.9,0.9,0.1,0.2,4.5,8,Short Horned Grasshopper
Rice crops,28,0.9,0.9,0.1,0.2,4.5,8,Short Horned Grasshopper
Rice crops,29,0.9,0.9,0.1,0.2,4.5,8,Short Horned Grasshopper
Rice crops,30,0.9,0.9,0.1,0.2,4.5,8,Short Horned Grasshopper
Rice crops,31,0.9,0.9,0.1,0.2,4.5,8,Short Horned Grasshopper
Rice crops,32,0.9,0.9,0.1,0.2,4.5,8,Short Horned Grasshopper
Rice crops,33,0.9,0.9,0.1,0.2,4.5,8,Short Horned Grasshopper
Rice crops,34,0.9,0.9,0.1,0.2,4.5,8,Short Horned Grasshopper
Rice crops,35,0.9,0.9,0.1,0.2,4.5,8,Short Horned Grasshopper
Rice crops,36,0.9,0.9,0.1,0.2,4.5,8,Short Horned Grasshopper
Rice crops,25,0.8,0.8,0,0.2,5.7,7.1,Narrow Brown Leaf Spot
Rice crops,26,0.8,0.8,0,0.2,5.7,7.1,Narrow Brown Leaf Spot
Rice crops,27,0.8,0.8,0,0.2,5.7,7.1,Narrow Brown Leaf Spot
Rice crops,28,0.8,0.8,0,0.2,5.7,7.1,Narrow Brown Leaf Spot
Rice crops,25,0.35,0.45,0.5,1,5.5,7.5,Black-streaked Dwarf Virus (BSDV)
Rice crops,26,0.35,0.45,0.5,1,5.5,7.5,Black-streaked Dwarf Virus (BSDV)
Rice crops,27,0.35,0.45,0.5,1,5.5,7.5,Black-streaked Dwarf Virus (BSDV)
Rice crops,28,0.35,0.45,0.5,1,5.5,7.5,Black-streaked Dwarf Virus (BSDV)
Rice crops,29,0.35,0.45,0.5,1,5.5,7.5,Black-streaked Dwarf Virus (BSDV)
Rice crops,30,0.35,0.45,0.5,1,5.5,7.5,Black-streaked Dwarf Virus (BSDV)
Rice crops,31,0.35,0.45,0.5,1,5.5,7.5,Black-streaked Dwarf Virus (BSDV)
Rice crops,32,0.35,0.45,0.5,1,5.5,7.5,Black-streaked Dwarf Virus (BSDV)
Rice crops,33,0.35,0.45,0.5,1,5.5,7.5,Black-streaked Dwarf Virus (BSDV)
Rice crops,34,0.35,0.45,0.5,1,5.5,7.5,Black-streaked Dwarf Virus (BSDV)
Rice crops,35,0.35,0.45,0.5,1,5.5,7.5,Black-streaked Dwarf Virus (BSDV)
Rice crops,26,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald
Rice crops,27,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald
Rice crops,28,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald
Rice crops,30,0.7,1,0,0.1,4.5,5.5,Wilting Leaves
Rice crops,31,0.7,1,0,0.1,4.5,5.5,Wilting Leaves
Rice crops,32,0.7,1,0,0.1,4.5,5.5,Wilting Leaves
Rice crops,33,0.7,1,0,0.1,4.5,5.5,Wilting Leaves
Rice crops,34,0.7,1,0,0.1,4.5,5.5,Wilting Leaves
Rice crops,35,0.7,1,0,0.1,4.5,5.5,Wilting Leaves
Rice crops,27,0.8,1,0.15,0.25,5.5,8.2,Head Smut
Rice crops,28,0.8,1,0.15,0.25,5.5,8.2,Head Smut
Rice crops,29,0.8,1,0.15,0.25,5.5,8.2,Head Smut
Rice crops,30,0.8,1,0.15,0.25,5.5,8.2,Head Smut
Rice crops,31,0.8,1,0.15,0.25,5.5,8.2,Head Smut
Rice crops,20,0.6,0.87,0.35,0.4,6,7.2,Loose Kernel Smut
Rice crops,21,0.6,0.87,0.35,0.4,6,7.2,Loose Kernel Smut
Rice crops,22,0.6,0.87,0.35,0.4,6,7.2,Loose Kernel Smut
Rice crops,23,0.6,0.87,0.35,0.4,6,7.2,Loose Kernel Smut
Rice crops,24,0.6,0.87,0.35,0.4,6,7.2,Loose Kernel Smut
Rice crops,25,0.6,0.87,0.35,0.4,6,7.2,Loose Kernel Smut
Rice crops,25,0.5,0.75,0.135,0.14,6,7,Foot Rot Disease
Rice crops,26,0.5,0.75,0.135,0.14,6,7,Foot Rot Disease
Rice crops,27,0.5,0.75,0.135,0.14,6,7,Foot Rot Disease
Rice crops,28,0.5,0.75,0.135,0.14,6,7,Foot Rot Disease
Rice crops,29,0.5,0.75,0.135,0.14,6,7,Foot Rot Disease
Rice crops,30,0.5,0.75,0.135,0.14,6,7,Foot Rot Disease
Rice crops,31,0.5,0.75,0.135,0.14,6,7,Foot Rot Disease
Rice crops,32,0.5,0.75,0.135,0.14,6,7,Foot Rot Disease
Rice crops,33,0.5,0.75,0.135,0.14,6,7,Foot Rot Disease
Rice crops,34,0.5,0.75,0.135,0.14,6,7,Foot Rot Disease
Rice crops,35,0.5,0.75,0.135,0.14,6,7,Foot Rot Disease
Rice crops,36,0.5,0.75,0.135,0.14,6,7,Foot Rot Disease
Rice crops,37,0.5,0.75,0.135,0.14,6,7,Foot Rot Disease
Rice crops,20,0.65,0.85,0.27,0.29,5.58,7.5,Sheath Rot
Rice crops,21,0.65,0.85,0.27,0.29,5.58,7.5,Sheath Rot
Rice crops,22,0.65,0.85,0.27,0.29,5.58,7.5,Sheath Rot
Rice crops,23,0.65,0.85,0.27,0.29,5.58,7.5,Sheath Rot
Rice crops,24,0.65,0.85,0.27,0.29,5.58,7.5,Sheath Rot
Rice crops,25,0.65,0.85,0.27,0.29,5.58,7.5,Sheath Rot
