Temperature,Minimum Humidity,Maximum Humidity, Minimum Soil Moisture,Maximum Soil Moisture,Minimum pH Level,Maximum pH Level,Disease/Pest,Practices,Medicines/Remedy
27,0.7,1,0.7,0.89,6.5,9,Xanthomonas Oryzae,Ensure good drainage of fields (in conventionally flooded crops) and nurseries.,streptocyclin and agrimycin
28,0.7,1,0.7,0.89,6.5,9,Xanthomonas Oryzae,Ensure good drainage of fields (in conventionally flooded crops) and nurseries.,streptocyclin and agrimycin
29,0.7,1,0.7,0.89,6.5,9,Xanthomonas Oryzae,Ensure good drainage of fields (in conventionally flooded crops) and nurseries.,streptocyclin and agrimycin
30,0.7,1,0.7,0.89,6.5,9,Xanthomonas Oryzae,Ensure good drainage of fields (in conventionally flooded crops) and nurseries.,streptocyclin and agrimycin
30,0.5,0.7,0.25,0.42,4,6.5,Spikelet degeneration,Moderate soil-drying imposed during the young panicle development period,"1-naphthaleneacetic acid (NAA), Brassinosteroids"
33,0.5,0.7,0.25,0.42,4,6.5,Spikelet degeneration,Moderate soil-drying imposed during the young panicle development period,"1-naphthaleneacetic acid (NAA), Brassinosteroids"
25,0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight,Ensure good drainage of fields (in conventionally flooded crops) and nurseries.,streptocyclin and agrimycin
26,0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight,Ensure good drainage of fields (in conventionally flooded crops) and nurseries.,streptocyclin and agrimycin
27,0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight,Ensure good drainage of fields (in conventionally flooded crops) and nurseries.,streptocyclin and agrimycin
28,0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight,Ensure good drainage of fields (in conventionally flooded crops) and nurseries.,streptocyclin and agrimycin
29,0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight,Ensure good drainage of fields (in conventionally flooded crops) and nurseries.,streptocyclin and agrimycin
30,0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight,Ensure good drainage of fields (in conventionally flooded crops) and nurseries.,streptocyclin and agrimycin
31,0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight,Ensure good drainage of fields (in conventionally flooded crops) and nurseries.,streptocyclin and agrimycin
32,0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight,Ensure good drainage of fields (in conventionally flooded crops) and nurseries.,streptocyclin and agrimycin
33,0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight,Ensure good drainage of fields (in conventionally flooded crops) and nurseries.,streptocyclin and agrimycin
34,0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight,Ensure good drainage of fields (in conventionally flooded crops) and nurseries.,streptocyclin and agrimycin
40,0.5,0.7,0.45,0.54,6.2,7.2,Grain discoloration,Use of disease-free seeds that are selected from healthy crop.,"applying captan, captafol, fentin hydroxide, and mancozeb"
28,0.85,1,0.65,0.8,5.4,7.3,Sheath blight,"avoiding high seeding rates and excessive application of fertilizers, especially nitrogen","Carbendazim, Propiconazole, Benomyl, Iprodione,Validamycin and Polyoxin"
29,0.85,1,0.65,0.8,5.4,7.3,Sheath blight,"avoiding high seeding rates and excessive application of fertilizers, especially nitrogen","Carbendazim, Propiconazole, Benomyl, Iprodione,Validamycin and Polyoxin"
30,0.85,1,0.65,0.8,5.4,7.3,Sheath blight,"avoiding high seeding rates and excessive application of fertilizers, especially nitrogen","Carbendazim, Propiconazole, Benomyl, Iprodione,Validamycin and Polyoxin"
31,0.85,1,0.65,0.8,5.4,7.3,Sheath blight,"avoiding high seeding rates and excessive application of fertilizers, especially nitrogen","Carbendazim, Propiconazole, Benomyl, Iprodione,Validamycin and Polyoxin"
32,0.85,1,0.65,0.8,5.4,7.3,Sheath blight,"avoiding high seeding rates and excessive application of fertilizers, especially nitrogen","Carbendazim, Propiconazole, Benomyl, Iprodione,Validamycin and Polyoxin"
30,0.95,1,0.8,1,4.8,6,Bacterial panicle blight (BPB),Plant early to avoid the disease in most years,quinolone antibiotic oxolinic acid
31,0.95,1,0.8,1,4.8,6,Bacterial panicle blight (BPB),Plant early to avoid the disease in most years,quinolone antibiotic oxolinic acid
32,0.95,1,0.8,1,4.8,6,Bacterial panicle blight (BPB),Plant early to avoid the disease in most years,quinolone antibiotic oxolinic acid
33,0.95,1,0.8,1,4.8,6,Bacterial panicle blight (BPB),Plant early to avoid the disease in most years,quinolone antibiotic oxolinic acid
34,0.95,1,0.8,1,4.8,6,Bacterial panicle blight (BPB),Plant early to avoid the disease in most years,quinolone antibiotic oxolinic acid
35,0.95,1,0.8,1,4.8,6,Bacterial panicle blight (BPB),Plant early to avoid the disease in most years,quinolone antibiotic oxolinic acid
25,0.95,0.95,0.25,0.4,6.02,6.72,False Smut,"Remove infected seeds, panicles, and plant debris after harvest.","captan, captafol, fentin hydroxide, and mancozeb"
26,0.95,0.95,0.25,0.4,6.02,6.72,False Smut,"Remove infected seeds, panicles, and plant debris after harvest.","captan, captafol, fentin hydroxide, and mancozeb"
27,0.95,0.95,0.25,0.4,6.02,6.72,False Smut,"Remove infected seeds, panicles, and plant debris after harvest.","captan, captafol, fentin hydroxide, and mancozeb"
28,0.95,0.95,0.25,0.4,6.02,6.72,False Smut,"Remove infected seeds, panicles, and plant debris after harvest.","captan, captafol, fentin hydroxide, and mancozeb"
29,0.95,0.95,0.25,0.4,6.02,6.72,False Smut,"Remove infected seeds, panicles, and plant debris after harvest.","captan, captafol, fentin hydroxide, and mancozeb"
30,0.95,0.95,0.25,0.4,6.02,6.72,False Smut,"Remove infected seeds, panicles, and plant debris after harvest.","captan, captafol, fentin hydroxide, and mancozeb"
31,0.95,0.95,0.25,0.4,6.02,6.72,False Smut,"Remove infected seeds, panicles, and plant debris after harvest.","captan, captafol, fentin hydroxide, and mancozeb"
32,0.95,0.95,0.25,0.4,6.02,6.72,False Smut,"Remove infected seeds, panicles, and plant debris after harvest.","captan, captafol, fentin hydroxide, and mancozeb"
16,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
17,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
18,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
19,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
20,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
21,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
22,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
23,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
24,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
25,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
26,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
27,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
28,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
29,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
30,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
31,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
32,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
33,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
34,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
35,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
36,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
30,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants,Application of kasugamycin and aminooxyacetic acid (AOA),kasugamycin and aminooxyacetic acid (AOA)
31,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants,Application of kasugamycin and aminooxyacetic acid (AOA),kasugamycin and aminooxyacetic acid (AOA)
32,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants,Application of kasugamycin and aminooxyacetic acid (AOA),kasugamycin and aminooxyacetic acid (AOA)
33,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants,Application of kasugamycin and aminooxyacetic acid (AOA),kasugamycin and aminooxyacetic acid (AOA)
34,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants,Application of kasugamycin and aminooxyacetic acid (AOA),kasugamycin and aminooxyacetic acid (AOA)
35,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants,Application of kasugamycin and aminooxyacetic acid (AOA),kasugamycin and aminooxyacetic acid (AOA)
36,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants,Application of kasugamycin and aminooxyacetic acid (AOA),kasugamycin and aminooxyacetic acid (AOA)
10,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants,Application of kasugamycin and aminooxyacetic acid (AOA),kasugamycin and aminooxyacetic acid (AOA)
11,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants,Application of kasugamycin and aminooxyacetic acid (AOA),kasugamycin and aminooxyacetic acid (AOA)
12,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants,Application of kasugamycin and aminooxyacetic acid (AOA),kasugamycin and aminooxyacetic acid (AOA)
13,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants,Application of kasugamycin and aminooxyacetic acid (AOA),kasugamycin and aminooxyacetic acid (AOA)
14,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants,Application of kasugamycin and aminooxyacetic acid (AOA),kasugamycin and aminooxyacetic acid (AOA)
15,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants,Application of kasugamycin and aminooxyacetic acid (AOA),kasugamycin and aminooxyacetic acid (AOA)
16,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants,Application of kasugamycin and aminooxyacetic acid (AOA),kasugamycin and aminooxyacetic acid (AOA)
28,0.9,0.9,0.78,0.92,6.4,7,Tungro,Schedule the planting to ensure nearly synchronous growth in each area.,Insecticides based on buprofezin or pymetrozine
29,0.9,0.9,0.78,0.92,6.4,7,Tungro,Schedule the planting to ensure nearly synchronous growth in each area.,Insecticides based on buprofezin or pymetrozine
30,0.9,0.9,0.78,0.92,6.4,7,Tungro,Schedule the planting to ensure nearly synchronous growth in each area.,Insecticides based on buprofezin or pymetrozine
31,0.9,0.9,0.78,0.92,6.4,7,Tungro,Schedule the planting to ensure nearly synchronous growth in each area.,Insecticides based on buprofezin or pymetrozine
32,0.9,0.9,0.78,0.92,6.4,7,Tungro,Schedule the planting to ensure nearly synchronous growth in each area.,Insecticides based on buprofezin or pymetrozine
28,0.9,0.9,0.75,0.9,5.5,6.5,Sheath Rot,"Minimize insect infestation in rice field, remove infected stubles after harvest, use optimum plant spacing, apply polash at tillering stage",Mancozeb and Benomyl
29,0.9,0.9,0.75,0.9,5.5,6.5,Sheath Rot,"Minimize insect infestation in rice field, remove infected stubles after harvest, use optimum plant spacing, apply polash at tillering stage",Mancozeb and Benomyl
30,0.9,0.9,0.75,0.9,5.5,6.5,Sheath Rot,"Minimize insect infestation in rice field, remove infected stubles after harvest, use optimum plant spacing, apply polash at tillering stage",Mancozeb and Benomyl
31,0.9,0.9,0.75,0.9,5.5,6.5,Sheath Rot,"Minimize insect infestation in rice field, remove infected stubles after harvest, use optimum plant spacing, apply polash at tillering stage",Mancozeb and Benomyl
32,0.9,0.9,0.75,0.9,5.5,6.5,Sheath Rot,"Minimize insect infestation in rice field, remove infected stubles after harvest, use optimum plant spacing, apply polash at tillering stage",Mancozeb and Benomyl
30,0.85,0.85,0.68,0.73,5,6.5,Stem Rot,"Use resistant cultivars, burn straw and stubble or any crop residue after harvest","validamycin, hexaconazole, propiconazole and thiophanate methyl "
31,0.85,0.85,0.68,0.73,5,6.5,Stem Rot,"Use resistant cultivars, burn straw and stubble or any crop residue after harvest","validamycin, hexaconazole, propiconazole and thiophanate methyl "
32,0.85,0.85,0.68,0.73,5,6.5,Stem Rot,"Use resistant cultivars, burn straw and stubble or any crop residue after harvest","validamycin, hexaconazole, propiconazole and thiophanate methyl "
13,0.85,1,0.88,0.95,7.5,8.5,Cold Injury,Application of ascorbic acid (AsA) and glutathione (GSH),ascorbic acid (AsA) and glutathione (GSH)
14,0.85,1,0.88,0.95,7.5,8.5,Cold Injury,Application of ascorbic acid (AsA) and glutathione (GSH),ascorbic acid (AsA) and glutathione (GSH)
15,0.85,1,0.88,0.95,7.5,8.5,Cold Injury,Application of ascorbic acid (AsA) and glutathione (GSH),ascorbic acid (AsA) and glutathione (GSH)
16,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV),"controlling grassy weeds, including volunteer cereals, within and near wheat production fields",imidacloprid
17,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV),"controlling grassy weeds, including volunteer cereals, within and near wheat production fields",imidacloprid
18,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV),"controlling grassy weeds, including volunteer cereals, within and near wheat production fields",imidacloprid
19,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV),"controlling grassy weeds, including volunteer cereals, within and near wheat production fields",imidacloprid
20,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV),"controlling grassy weeds, including volunteer cereals, within and near wheat production fields",imidacloprid
21,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV),"controlling grassy weeds, including volunteer cereals, within and near wheat production fields",imidacloprid
22,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV),"controlling grassy weeds, including volunteer cereals, within and near wheat production fields",imidacloprid
23,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV),"controlling grassy weeds, including volunteer cereals, within and near wheat production fields",imidacloprid
24,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV),"controlling grassy weeds, including volunteer cereals, within and near wheat production fields",imidacloprid
25,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV),"controlling grassy weeds, including volunteer cereals, within and near wheat production fields",imidacloprid
26,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV),"controlling grassy weeds, including volunteer cereals, within and near wheat production fields",imidacloprid
27,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV),"controlling grassy weeds, including volunteer cereals, within and near wheat production fields",imidacloprid
28,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV),"controlling grassy weeds, including volunteer cereals, within and near wheat production fields",imidacloprid
29,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV),"controlling grassy weeds, including volunteer cereals, within and near wheat production fields",imidacloprid
30,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV),"controlling grassy weeds, including volunteer cereals, within and near wheat production fields",imidacloprid
31,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV),"controlling grassy weeds, including volunteer cereals, within and near wheat production fields",imidacloprid
32,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV),"controlling grassy weeds, including volunteer cereals, within and near wheat production fields",imidacloprid
27,0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease,Clean seeds should be used to minimize the occurrence of the disease.,carbendazim 
28,0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease,Clean seeds should be used to minimize the occurrence of the disease.,carbendazim 
29,0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease,Clean seeds should be used to minimize the occurrence of the disease.,carbendazim 
30,0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease,Clean seeds should be used to minimize the occurrence of the disease.,carbendazim 
31,0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease,Clean seeds should be used to minimize the occurrence of the disease.,carbendazim 
32,0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease,Clean seeds should be used to minimize the occurrence of the disease.,carbendazim 
33,0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease,Clean seeds should be used to minimize the occurrence of the disease.,carbendazim 
34,0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease,Clean seeds should be used to minimize the occurrence of the disease.,carbendazim 
35,0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease,Clean seeds should be used to minimize the occurrence of the disease.,carbendazim 
30,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald,Increase the spacing between plants during transplanting.,"benomyl, fentin acetate, edifenphos, and validamycin"
31,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald,Increase the spacing between plants during transplanting.,"benomyl, fentin acetate, edifenphos, and validamycin"
32,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald,Increase the spacing between plants during transplanting.,"benomyl, fentin acetate, edifenphos, and validamycin"
33,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald,Increase the spacing between plants during transplanting.,"benomyl, fentin acetate, edifenphos, and validamycin"
34,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald,Increase the spacing between plants during transplanting.,"benomyl, fentin acetate, edifenphos, and validamycin"
35,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald,Increase the spacing between plants during transplanting.,"benomyl, fentin acetate, edifenphos, and validamycin"
36,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald,Increase the spacing between plants during transplanting.,"benomyl, fentin acetate, edifenphos, and validamycin"
37,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald,Increase the spacing between plants during transplanting.,"benomyl, fentin acetate, edifenphos, and validamycin"
38,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald,Increase the spacing between plants during transplanting.,"benomyl, fentin acetate, edifenphos, and validamycin"
20,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies,Early seedlings transplant within 14 days of germination with increased spacing. Remove weeds before and immediately after transplanting and avoid panicle-only harvesting.,Sulfur pesticides
21,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies,Early seedlings transplant within 14 days of germination with increased spacing. Remove weeds before and immediately after transplanting and avoid panicle-only harvesting.,Sulfur pesticides
22,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies,Early seedlings transplant within 14 days of germination with increased spacing. Remove weeds before and immediately after transplanting and avoid panicle-only harvesting.,Sulfur pesticides
23,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies,Early seedlings transplant within 14 days of germination with increased spacing. Remove weeds before and immediately after transplanting and avoid panicle-only harvesting.,Sulfur pesticides
24,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies,Early seedlings transplant within 14 days of germination with increased spacing. Remove weeds before and immediately after transplanting and avoid panicle-only harvesting.,Sulfur pesticides
25,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies,Early seedlings transplant within 14 days of germination with increased spacing. Remove weeds before and immediately after transplanting and avoid panicle-only harvesting.,Sulfur pesticides
26,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies,Early seedlings transplant within 14 days of germination with increased spacing. Remove weeds before and immediately after transplanting and avoid panicle-only harvesting.,Sulfur pesticides
27,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies,Early seedlings transplant within 14 days of germination with increased spacing. Remove weeds before and immediately after transplanting and avoid panicle-only harvesting.,Sulfur pesticides
28,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies,Early seedlings transplant within 14 days of germination with increased spacing. Remove weeds before and immediately after transplanting and avoid panicle-only harvesting.,Sulfur pesticides
29,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies,Early seedlings transplant within 14 days of germination with increased spacing. Remove weeds before and immediately after transplanting and avoid panicle-only harvesting.,Sulfur pesticides
30,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies,Early seedlings transplant within 14 days of germination with increased spacing. Remove weeds before and immediately after transplanting and avoid panicle-only harvesting.,Sulfur pesticides
24,0.75,0.92,0.58,0.7,6.2,10,Rice hispa,Collect and destroy floating beetles after flooding in the rice nursery beds.,Spraying of methyl parathion 0.05% or Quinalphos 0.05%.
25,0.75,0.92,0.58,0.7,6.2,10,Rice hispa,Collect and destroy floating beetles after flooding in the rice nursery beds.,Spraying of methyl parathion 0.05% or Quinalphos 0.05%.
26,0.75,0.92,0.58,0.7,6.2,10,Rice hispa,Collect and destroy floating beetles after flooding in the rice nursery beds.,Spraying of methyl parathion 0.05% or Quinalphos 0.05%.
27,0.75,0.92,0.58,0.7,6.2,10,Rice hispa,Collect and destroy floating beetles after flooding in the rice nursery beds.,Spraying of methyl parathion 0.05% or Quinalphos 0.05%.
28,0.75,0.92,0.58,0.7,6.2,10,Rice hispa,Collect and destroy floating beetles after flooding in the rice nursery beds.,Spraying of methyl parathion 0.05% or Quinalphos 0.05%.
29,0.75,0.92,0.58,0.7,6.2,10,Rice hispa,Collect and destroy floating beetles after flooding in the rice nursery beds.,Spraying of methyl parathion 0.05% or Quinalphos 0.05%.
30,0.75,0.92,0.58,0.7,6.2,10,Rice hispa,Collect and destroy floating beetles after flooding in the rice nursery beds.,Spraying of methyl parathion 0.05% or Quinalphos 0.05%.
31,0.75,0.92,0.58,0.7,6.2,10,Rice hispa,Collect and destroy floating beetles after flooding in the rice nursery beds.,Spraying of methyl parathion 0.05% or Quinalphos 0.05%.
32,0.75,0.92,0.58,0.7,6.2,10,Rice hispa,Collect and destroy floating beetles after flooding in the rice nursery beds.,Spraying of methyl parathion 0.05% or Quinalphos 0.05%.
33,0.75,0.92,0.58,0.7,6.2,10,Rice hispa,Collect and destroy floating beetles after flooding in the rice nursery beds.,Spraying of methyl parathion 0.05% or Quinalphos 0.05%.
34,0.75,0.92,0.58,0.7,6.2,10,Rice hispa,Collect and destroy floating beetles after flooding in the rice nursery beds.,Spraying of methyl parathion 0.05% or Quinalphos 0.05%.
20,0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs,Spray them with a strong blast of water to dislodge nymphs from the plants,Bifenthrin found in Bifen XTS
21,0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs,Spray them with a strong blast of water to dislodge nymphs from the plants,Bifenthrin found in Bifen XTS
22,0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs,Spray them with a strong blast of water to dislodge nymphs from the plants,Bifenthrin found in Bifen XTS
23,0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs,Spray them with a strong blast of water to dislodge nymphs from the plants,Bifenthrin found in Bifen XTS
24,0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs,Spray them with a strong blast of water to dislodge nymphs from the plants,Bifenthrin found in Bifen XTS
25,0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs,Spray them with a strong blast of water to dislodge nymphs from the plants,Bifenthrin found in Bifen XTS
26,0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs,Spray them with a strong blast of water to dislodge nymphs from the plants,Bifenthrin found in Bifen XTS
27,0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs,Spray them with a strong blast of water to dislodge nymphs from the plants,Bifenthrin found in Bifen XTS
28,0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs,Spray them with a strong blast of water to dislodge nymphs from the plants,Bifenthrin found in Bifen XTS
29,0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs,Spray them with a strong blast of water to dislodge nymphs from the plants,Bifenthrin found in Bifen XTS
30,0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs,Spray them with a strong blast of water to dislodge nymphs from the plants,Bifenthrin found in Bifen XTS
18,0.8,1,0.4,0.6,7,8.4,Udbatta disease,Solar treatment of seeds is also effective in killing the pathogen carried in the seeds.,aureofungin (a fungicidal antibiotic) and mancozeb
19,0.8,1,0.4,0.6,7,8.4,Udbatta disease,Solar treatment of seeds is also effective in killing the pathogen carried in the seeds.,aureofungin (a fungicidal antibiotic) and mancozeb
20,0.8,1,0.4,0.6,7,8.4,Udbatta disease,Solar treatment of seeds is also effective in killing the pathogen carried in the seeds.,aureofungin (a fungicidal antibiotic) and mancozeb
