Minimum Humidity,Maximum Humidity, Minimum Soil Moisture,Maximum Soil Moisture,Minimum pH Level,Maximum pH Level,Disease/Pest
0.95,0.95,0.25,0.4,6.02,6.72,False Smut
0.95,0.95,0.25,0.4,6.02,6.72,False Smut
0.95,0.95,0.25,0.4,6.02,6.72,False Smut
0.95,0.95,0.25,0.4,6.02,6.72,False Smut
0.95,0.95,0.25,0.4,6.02,6.72,False Smut
0.95,0.95,0.25,0.4,6.02,6.72,False Smut
0.95,0.95,0.25,0.4,6.02,6.72,False Smut
0.95,0.95,0.25,0.4,6.02,6.72,False Smut
0.86,1,0.69,0.9,5,6.2,Brown Spot
0.86,1,0.69,0.9,5,6.2,Brown Spot
0.86,1,0.69,0.9,5,6.2,Brown Spot
0.86,1,0.69,0.9,5,6.2,Brown Spot
0.86,1,0.69,0.9,5,6.2,Brown Spot
0.86,1,0.69,0.9,5,6.2,Brown Spot
0.86,1,0.69,0.9,5,6.2,Brown Spot
0.86,1,0.69,0.9,5,6.2,Brown Spot
0.86,1,0.69,0.9,5,6.2,Brown Spot
0.86,1,0.69,0.9,5,6.2,Brown Spot
0.86,1,0.69,0.9,5,6.2,Brown Spot
0.86,1,0.69,0.9,5,6.2,Brown Spot
0.86,1,0.69,0.9,5,6.2,Brown Spot
0.86,1,0.69,0.9,5,6.2,Brown Spot
0.86,1,0.69,0.9,5,6.2,Brown Spot
0.86,1,0.69,0.9,5,6.2,Brown Spot
0.86,1,0.69,0.9,5,6.2,Brown Spot
0.86,1,0.69,0.9,5,6.2,Brown Spot
0.86,1,0.69,0.9,5,6.2,Brown Spot
0.86,1,0.69,0.9,5,6.2,Brown Spot
0.86,1,0.69,0.9,5,6.2,Brown Spot
0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants
0.9,0.9,0.78,0.92,6.4,7,Tungro
0.9,0.9,0.78,0.92,6.4,7,Tungro
0.9,0.9,0.78,0.92,6.4,7,Tungro
0.9,0.9,0.78,0.92,6.4,7,Tungro
0.9,0.9,0.78,0.92,6.4,7,Tungro
0.9,0.9,0.75,0.9,5.5,6.5,Sheath Rot
0.9,0.9,0.75,0.9,5.5,6.5,Sheath Rot
0.9,0.9,0.75,0.9,5.5,6.5,Sheath Rot
0.9,0.9,0.75,0.9,5.5,6.5,Sheath Rot
0.9,0.9,0.75,0.9,5.5,6.5,Sheath Rot
0.85,0.85,0.68,0.73,5,6.5,Stem Rot
0.85,0.85,0.68,0.73,5,6.5,Stem Rot
0.85,0.85,0.68,0.73,5,6.5,Stem Rot
0.85,1,0.88,0.95,7.5,8.5,Cold Injury
0.85,1,0.88,0.95,7.5,8.5,Cold Injury
0.85,1,0.88,0.95,7.5,8.5,Cold Injury
0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV)
0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease
0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease
0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease
0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease
0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease
0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease
0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease
0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease
0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease
0.92,1,0.32,0.42,6.5,6.9,Leaf Scald
0.92,1,0.32,0.42,6.5,6.9,Leaf Scald
0.92,1,0.32,0.42,6.5,6.9,Leaf Scald
0.92,1,0.32,0.42,6.5,6.9,Leaf Scald
0.92,1,0.32,0.42,6.5,6.9,Leaf Scald
0.92,1,0.32,0.42,6.5,6.9,Leaf Scald
0.92,1,0.32,0.42,6.5,6.9,Leaf Scald
0.92,1,0.32,0.42,6.5,6.9,Leaf Scald
0.92,1,0.32,0.42,6.5,6.9,Leaf Scald
0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies
0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies
0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies
0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies
0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies
0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies
0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies
0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies
0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies
0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies
0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies
0.75,0.92,0.58,0.7,6.2,10,Rice hispa
0.75,0.92,0.58,0.7,6.2,10,Rice hispa
0.75,0.92,0.58,0.7,6.2,10,Rice hispa
0.75,0.92,0.58,0.7,6.2,10,Rice hispa
0.75,0.92,0.58,0.7,6.2,10,Rice hispa
0.75,0.92,0.58,0.7,6.2,10,Rice hispa
0.75,0.92,0.58,0.7,6.2,10,Rice hispa
0.75,0.92,0.58,0.7,6.2,10,Rice hispa
0.75,0.92,0.58,0.7,6.2,10,Rice hispa
0.75,0.92,0.58,0.7,6.2,10,Rice hispa
0.75,0.92,0.58,0.7,6.2,10,Rice hispa
0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs
0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs
0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs
0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs
0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs
0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs
0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs
0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs
0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs
0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs
0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs
0.8,1,0.4,0.6,7,8.4,Udbatta disease
0.8,1,0.4,0.6,7,8.4,Udbatta disease
0.8,1,0.4,0.6,7,8.4,Udbatta disease
0.8,1,0.4,0.6,7,8.4,Udbatta disease
0.8,1,0.4,0.6,7,8.4,Udbatta disease
0.8,1,0.4,0.6,7,8.4,Udbatta disease
0.8,1,0.4,0.6,7,8.4,Udbatta disease
0.8,1,0.4,0.6,7,8.4,Udbatta disease
0.8,1,0.4,0.6,7,8.4,Udbatta disease
0.8,1,0.4,0.6,7,8.4,Udbatta disease
0.8,1,0.4,0.6,7,8.4,Udbatta disease
0.8,1,0.4,0.6,7,8.4,Udbatta disease
0.8,1,0.4,0.6,7,8.4,Udbatta disease
0.85,0.85,0.7,0.8,5,8,Whorl Maggot
0.85,0.85,0.7,0.8,5,8,Whorl Maggot
0.85,0.85,0.7,0.8,5,8,Whorl Maggot
0.85,0.85,0.7,0.8,5,8,Whorl Maggot
0.85,0.85,0.7,0.8,5,8,Whorl Maggot
0.8,0.8,0.5,0.63,4.5,7.5,Leaffolder
0.8,0.8,0.5,0.63,4.5,7.5,Leaffolder
0.8,0.8,0.5,0.63,4.5,7.5,Leaffolder
0.8,0.8,0.5,0.63,4.5,7.5,Leaffolder
0.8,0.8,0.5,0.63,4.5,7.5,Leaffolder
0.85,0.85,0.7,0.8,6,7.5,Armyworm
0.85,0.85,0.7,0.8,6,7.5,Armyworm
0.85,0.85,0.7,0.8,6,7.5,Armyworm
0.85,0.85,0.7,0.8,6,7.5,Armyworm
0.85,0.85,0.7,0.8,6,7.5,Armyworm
0.85,0.85,0.7,0.8,6,7.5,Armyworm
0.8,0.8,0.59,0.59,5.8,6.5,Green Leaf Hopper
0.8,0.8,0.59,0.59,5.8,6.5,Green Leaf Hopper
0.8,0.8,0.59,0.59,5.8,6.5,Green Leaf Hopper
0.8,0.8,0.59,0.59,5.8,6.5,Green Leaf Hopper
0.8,0.8,0.59,0.59,5.8,6.5,Green Leaf Hopper
0.8,0.8,0.59,0.59,5.8,6.5,Green Leaf Hopper
0.8,0.8,0.59,0.59,5.8,6.5,Green Leaf Hopper
0.8,0.8,0.59,0.59,5.8,6.5,Green Leaf Hopper
0.8,0.8,0.59,0.59,5.8,6.5,Green Leaf Hopper
0.8,0.8,0.59,0.59,5.8,6.5,Green Leaf Hopper
0.8,0.8,0.59,0.59,5.8,6.5,Green Leaf Hopper
0.8,0.8,0.59,0.59,5.8,6.5,Green Leaf Hopper
0.8,0.8,0.59,0.59,5.8,6.5,Green Leaf Hopper
0.8,0.8,0.59,0.59,5.8,6.5,Green Leaf Hopper
0.8,0.8,0.59,0.59,5.8,6.5,Green Leaf Hopper
0.5,0.8,0.71,0.83,5.9,8.1,Stink Bug
0.6,0.8,0.41,0.58,6.5,7,Stem Borer 
0.6,0.8,0.41,0.58,6.5,7,Stem Borer 
0.6,0.8,0.41,0.58,6.5,7,Stem Borer 
0.6,0.8,0.41,0.58,6.5,7,Stem Borer 
0.6,0.8,0.41,0.58,6.5,7,Stem Borer 
0.6,0.8,0.41,0.58,6.5,7,Stem Borer 
0.6,0.8,0.41,0.58,6.5,7,Stem Borer 
0.6,0.8,0.41,0.58,6.5,7,Stem Borer 
0.6,0.8,0.41,0.58,6.5,7,Stem Borer 
0.6,0.8,0.41,0.58,6.5,7,Stem Borer
0.9,0.9,0.4,0.6,5.5,7.5,Black Bug 
0.9,0.9,0.4,0.6,5.5,7.5,Black Bug 
0.9,0.9,0.4,0.6,5.5,7.5,Black Bug 
0.9,0.9,0.4,0.6,5.5,7.5,Black Bug 
0.9,0.9,0.4,0.6,5.5,7.5,Black Bug 
0.9,0.9,0.4,0.6,5.5,7.5,Black Bug 
0.9,0.9,0.4,0.6,5.5,7.5,Black Bug 
0.9,0.9,0.4,0.6,5.5,7.5,Black Bug 
0.85,0.85,0.8,1,6,7.8,Septoria Tritici Blotch
0.85,0.85,0.8,1,6,7.8,Septoria Tritici Blotch
0.85,0.85,0.8,1,6,7.8,Septoria Tritici Blotch
0.85,0.85,0.8,1,6,7.8,Septoria Tritici Blotch
0.85,0.85,0.8,1,6,7.8,Septoria Tritici Blotch
0.85,0.85,0.8,1,6,7.8,Septoria Tritici Blotch
0.9,0.9,0.1062,0.2684,2.5,9.8,Gall Midge
0.9,0.9,0.1062,0.2684,2.5,9.8,Gall Midge
0.9,0.9,0.1062,0.2684,2.5,9.8,Gall Midge
0.9,0.9,0.1062,0.2684,2.5,9.8,Gall Midge
0.9,0.9,0.1062,0.2684,2.5,9.8,Gall Midge
0.9,0.9,0.1062,0.2684,2.5,9.8,Gall Midge
0.5,0.55,0.5,1,6,8.5,Rice Ragged Stunt Virus
0.5,0.55,0.5,1,6,8.5,Rice Ragged Stunt Virus
0.5,0.55,0.5,1,6,8.5,Rice Ragged Stunt Virus
0.5,0.55,0.5,1,6,8.5,Rice Ragged Stunt Virus
0.5,0.55,0.5,1,6,8.5,Rice Ragged Stunt Virus
0.5,0.55,0.5,1,6,8.5,Rice Ragged Stunt Virus
0.5,0.55,0.5,1,6,8.5,Rice Ragged Stunt Virus
0.8,0.82,0.25,0.5,4,7.5,Defoliators
0.8,0.82,0.25,0.5,4,7.5,Defoliators
0.75,0.8,0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
0.75,0.8,0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
0.75,0.8,0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
0.75,0.8,0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
0.75,0.8,0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
0.75,0.8,0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
0.75,0.8,0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
0.75,0.8,0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
0.75,0.8,-0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
0.75,0.8,0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
0.75,0.8,0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
0.75,0.8,0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
0.75,0.8,0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
0.75,0.8,0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
0.75,0.8,0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
0.75,0.8,0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
0.75,0.8,0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
0.75,0.8,0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
0.75,0.8,0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
0.75,0.8,0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
0.75,0.8,0.2,0.9,5.5,7.2,"Mealybug, Phenacoccus sp"
0.9,0.9,0.1,0.2,4.5,8,Short Horned Grasshopper
0.9,0.9,0.1,0.2,4.5,8,Short Horned Grasshopper
0.9,0.9,0.1,0.2,4.5,8,Short Horned Grasshopper
0.9,0.9,0.1,0.2,4.5,8,Short Horned Grasshopper
0.9,0.9,0.1,0.2,4.5,8,Short Horned Grasshopper
0.9,0.9,0.1,0.2,4.5,8,Short Horned Grasshopper
0.9,0.9,0.1,0.2,4.5,8,Short Horned Grasshopper
0.9,0.9,0.1,0.2,4.5,8,Short Horned Grasshopper
0.9,0.9,0.1,0.2,4.5,8,Short Horned Grasshopper
0.9,0.9,0.1,0.2,4.5,8,Short Horned Grasshopper
0.9,0.9,0.1,0.2,4.5,8,Short Horned Grasshopper
0.9,0.9,0.1,0.2,4.5,8,Short Horned Grasshopper
0.9,0.9,0.1,0.2,4.5,8,Short Horned Grasshopper
0.8,0.8,0,0.2,5.7,7.1,Narrow Brown Leaf Spot
0.8,0.8,0,0.2,5.7,7.1,Narrow Brown Leaf Spot
0.8,0.8,0,0.2,5.7,7.1,Narrow Brown Leaf Spot
0.8,0.8,0,0.2,5.7,7.1,Narrow Brown Leaf Spot
0.35,0.45,0.5,1,5.5,7.5,Black-streaked Dwarf Virus (BSDV)
0.35,0.45,0.5,1,5.5,7.5,Black-streaked Dwarf Virus (BSDV)
0.35,0.45,0.5,1,5.5,7.5,Black-streaked Dwarf Virus (BSDV)
0.35,0.45,0.5,1,5.5,7.5,Black-streaked Dwarf Virus (BSDV)
0.35,0.45,0.5,1,5.5,7.5,Black-streaked Dwarf Virus (BSDV)
0.35,0.45,0.5,1,5.5,7.5,Black-streaked Dwarf Virus (BSDV)
0.35,0.45,0.5,1,5.5,7.5,Black-streaked Dwarf Virus (BSDV)
0.35,0.45,0.5,1,5.5,7.5,Black-streaked Dwarf Virus (BSDV)
0.35,0.45,0.5,1,5.5,7.5,Black-streaked Dwarf Virus (BSDV)
0.35,0.45,0.5,1,5.5,7.5,Black-streaked Dwarf Virus (BSDV)
0.35,0.45,0.5,1,5.5,7.5,Black-streaked Dwarf Virus (BSDV)
0.92,1,0.32,0.42,6.5,6.9,Leaf Scald
0.92,1,0.32,0.42,6.5,6.9,Leaf Scald
0.92,1,0.32,0.42,6.5,6.9,Leaf Scald
0.7,1,0,0.1,4.5,5.5,Wilting Leaves
0.7,1,0,0.1,4.5,5.5,Wilting Leaves
0.7,1,0,0.1,4.5,5.5,Wilting Leaves
0.7,1,0,0.1,4.5,5.5,Wilting Leaves
0.7,1,0,0.1,4.5,5.5,Wilting Leaves
0.7,1,0,0.1,4.5,5.5,Wilting Leaves
0.8,1,0.15,0.25,5.5,8.2,Head Smut
0.8,1,0.15,0.25,5.5,8.2,Head Smut
0.8,1,0.15,0.25,5.5,8.2,Head Smut
0.8,1,0.15,0.25,5.5,8.2,Head Smut
0.8,1,0.15,0.25,5.5,8.2,Head Smut
0.6,0.87,0.35,0.4,6,7.2,Loose Kernel Smut
0.6,0.87,0.35,0.4,6,7.2,Loose Kernel Smut
0.6,0.87,0.35,0.4,6,7.2,Loose Kernel Smut
0.6,0.87,0.35,0.4,6,7.2,Loose Kernel Smut
0.6,0.87,0.35,0.4,6,7.2,Loose Kernel Smut
0.6,0.87,0.35,0.4,6,7.2,Loose Kernel Smut
0.5,0.75,0.135,0.14,6,7,Foot Rot Disease
0.5,0.75,0.135,0.14,6,7,Foot Rot Disease
0.5,0.75,0.135,0.14,6,7,Foot Rot Disease
0.5,0.75,0.135,0.14,6,7,Foot Rot Disease
0.5,0.75,0.135,0.14,6,7,Foot Rot Disease
0.5,0.75,0.135,0.14,6,7,Foot Rot Disease
0.5,0.75,0.135,0.14,6,7,Foot Rot Disease
0.5,0.75,0.135,0.14,6,7,Foot Rot Disease
0.5,0.75,0.135,0.14,6,7,Foot Rot Disease
0.5,0.75,0.135,0.14,6,7,Foot Rot Disease
0.5,0.75,0.135,0.14,6,7,Foot Rot Disease
0.5,0.75,0.135,0.14,6,7,Foot Rot Disease
0.5,0.75,0.135,0.14,6,7,Foot Rot Disease
0.65,0.85,0.27,0.29,5.58,7.5,Sheath Rot
0.65,0.85,0.27,0.29,5.58,7.5,Sheath Rot
0.65,0.85,0.27,0.29,5.58,7.5,Sheath Rot
0.65,0.85,0.27,0.29,5.58,7.5,Sheath Rot
0.65,0.85,0.27,0.29,5.58,7.5,Sheath Rot
0.65,0.85,0.27,0.29,5.58,7.5,Sheath Rot
0.65,0.85,0.27,0.29,5.58,7.5,Sheath Rot
0.65,0.85,0.27,0.29,5.58,7.5,Sheath Rot
0.65,0.85,0.27,0.29,5.58,7.5,Sheath Rot
0.65,0.85,0.27,0.29,5.58,7.5,Sheath Rot
0.65,0.85,0.27,0.29,5.58,7.5,Sheath Rot
0.87,0.87,0.75,1,6,6.5,Alternaria Leaf Spot
0.87,0.87,0.75,1,6,6.5,Alternaria Leaf Spot
0.87,0.87,0.75,1,6,6.5,Alternaria Leaf Spot
0.87,0.87,0.75,1,6,6.5,Alternaria Leaf Spot
0.87,0.87,0.75,1,6,6.5,Alternaria Leaf Spot
0.87,0.87,0.75,1,6,6.5,Alternaria Leaf Spot
0.87,0.87,0.75,1,6,6.5,Alternaria Leaf Spot
0.87,0.87,0.75,1,6,6.5,Alternaria Leaf Spot
0.87,0.87,0.75,1,6,6.5,Alternaria Leaf Spot
0.87,0.87,0.75,1,6,6.5,Alternaria Leaf Spot
0.87,0.87,0.75,1,6,6.5,Alternaria Leaf Spot
0.87,0.87,0.75,1,6,6.5,Alternaria Leaf Spot
0.1,0.45,0.6,0.8,5.5,9,Heat Stress
0.1,0.45,0.6,0.8,5.5,9,Heat Stress
0.1,0.45,0.6,0.8,5.5,9,Heat Stress
0.1,0.45,0.6,0.8,5.5,9,Heat Stress
0.622,0.937,0.5,1,5.3,6,Brown planthopper
0.622,0.937,0.5,1,5.3,6,Brown planthopper
0.622,0.937,0.5,1,5.3,6,Brown planthopper
0.622,0.937,0.5,1,5.3,6,Brown planthopper
0.622,0.937,0.5,1,5.3,6,Brown planthopper
0.622,0.937,0.5,1,5.3,6,Brown planthopper
0.622,0.937,0.5,1,5.3,6,Brown planthopper
0.8,0.8,0.2,0.4,6,7.5,Rice bugs
0.8,0.8,0.2,0.4,6,7.5,Rice bugs
0.8,0.8,0.2,0.4,6,7.5,Rice bugs
0.6164,0.9368,0.66,1,5.5,8.7,Leaf Folder
0.6164,0.9368,0.66,1,5.5,8.7,Leaf Folder
0.6164,0.9368,0.66,1,5.5,8.7,Leaf Folder
0.6164,0.9368,0.66,1,5.5,8.7,Leaf Folder
0.6164,0.9368,0.66,1,5.5,8.7,Leaf Folder
0.6164,0.9368,0.66,1,5.5,8.7,Leaf Folder
0.6164,0.9368,0.66,1,5.5,8.7,Leaf Folder
0.6164,0.9368,0.66,1,5.5,8.7,Leaf Folder
0.6164,0.9368,0.66,1,5.5,8.7,Leaf Folder
0.6164,0.9368,0.66,1,5.5,7,Field Cricket
0.6164,0.9368,0.66,1,5.5,7,Field Cricket
0.6164,0.9368,0.66,1,5.5,7,Field Cricket
0.6164,0.9368,0.66,1,5.5,7,Field Cricket
0.6164,0.9368,0.66,1,5.5,7,Field Cricket
0.6164,0.9368,0.66,1,5.5,7,Field Cricket
0.6164,0.9368,0.66,1,5.5,7,Field Cricket
0.6164,0.9368,0.66,1,5.5,7,Field Cricket
0.6164,0.9368,0.66,1,5.5,7,Field Cricket
0.4892,0.7876,0.5,1,6.5,7.5,Caseworm
0.4892,0.7876,0.5,1,6.5,7.5,Caseworm
0.4892,0.7876,0.5,1,6.5,7.5,Caseworm
0.4892,0.7876,0.5,1,6.5,7.5,Caseworm
0.4892,0.7876,0.5,1,6.5,7.5,Caseworm
0.4892,0.7876,0.5,1,6.5,7.5,Caseworm
0.4892,0.7876,0.5,1,6.5,7.5,Caseworm
0.95,1,0.24,1,3.5,7,Fusarium Head Blight
0.95,1,0.24,1,3.5,7,Fusarium Head Blight
0.95,1,0.24,1,3.5,7,Fusarium Head Blight
0.95,1,0.24,1,3.5,7,Fusarium Head Blight
0.85,0.9,0.75,1,4,6,Complete Sterility
0.85,0.9,0.75,1,4,6,Complete Sterility
0.85,0.9,0.75,1,4,6,Complete Sterility
0.85,0.9,0.75,1,4,6,Complete Sterility
0.85,0.9,0.75,1,4,6,Complete Sterility
0.85,0.9,0.75,1,4,6,Complete Sterility
0.75,0.9,0.4,0.6,5.8,8,Southern rice black-streaked dwarf virus
0.75,0.9,0.4,0.6,5.8,8,Southern rice black-streaked dwarf virus  
0.75,0.9,0.4,0.6,5.8,8,Southern rice black-streaked dwarf virus 
0.75,0.9,0.4,0.6,5.8,8,Southern rice black-streaked dwarf virus  
0.75,0.9,0.4,0.6,5.8,8,Southern rice black-streaked dwarf virus  
0.75,0.9,0.4,0.6,5.8,8,Southern rice black-streaked dwarf virus  
0.75,0.9,0.4,0.6,5.8,8,Southern rice black-streaked dwarf virus  
0.75,0.9,0.4,0.6,5.8,8,Southern rice black-streaked dwarf virus  
0.75,0.9,0.4,0.6,5.8,8,Southern rice black-streaked dwarf virus  
0.5,0.9,0.2,0.4,5.5,7.5,Malayan Black Bug
0.5,0.9,0.2,0.4,5.5,7.5,Malayan Black Bug
0.5,0.9,0.2,0.4,5.5,7.5,Malayan Black Bug
0.5,0.9,0.2,0.4,5.5,7.5,Malayan Black Bug
0.5,0.9,0.2,0.4,5.5,7.5,Malayan Black Bug
0.5,0.9,0.2,0.4,5.5,7.5,Malayan Black Bug
0.7,0.8,0.3,0.4,5.6,7.3,Dark Headed Borer
0.7,0.8,0.3,0.4,5.6,7.3,Dark Headed Borer
0.7,0.8,0.3,0.4,5.6,7.3,Dark Headed Borer
0.7,0.8,0.3,0.4,5.6,7.3,Dark Headed Borer
0.7,0.8,0.3,0.4,5.6,7.3,Dark Headed Borer
0.7,0.8,0.3,0.4,5.6,7.3,Dark Headed Borer
