Plant,Temperature,Minimum Humidity,Maximum Humidity, Minimum Soil Moisture,Maximum Soil Moisture,Minimum pH Level,Maximum pH Level,Disease/Pest,Practices,Medicines/Remedy
Rice crops,33,0.5,0.7,0.25,0.42,4,6.5,Spikelet degeneration,Moderate soil-drying imposed during the young panicle development period,"1-naphthaleneacetic acid (NAA), Brassinosteroids"
Rice crops,25,0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight,Ensure good drainage of fields (in conventionally flooded crops) and nurseries.,streptocyclin and agrimycin
Rice crops,26,0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight,Ensure good drainage of fields (in conventionally flooded crops) and nurseries.,streptocyclin and agrimycin
Rice crops,27,0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight,Ensure good drainage of fields (in conventionally flooded crops) and nurseries.,streptocyclin and agrimycin
Rice crops,28,0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight,Ensure good drainage of fields (in conventionally flooded crops) and nurseries.,streptocyclin and agrimycin
Rice crops,29,0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight,Ensure good drainage of fields (in conventionally flooded crops) and nurseries.,streptocyclin and agrimycin
Rice crops,30,0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight,Ensure good drainage of fields (in conventionally flooded crops) and nurseries.,streptocyclin and agrimycin
Rice crops,31,0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight,Ensure good drainage of fields (in conventionally flooded crops) and nurseries.,streptocyclin and agrimycin
Rice crops,32,0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight,Ensure good drainage of fields (in conventionally flooded crops) and nurseries.,streptocyclin and agrimycin
Rice crops,33,0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight,Ensure good drainage of fields (in conventionally flooded crops) and nurseries.,streptocyclin and agrimycin
Rice crops,34,0.7,0.89,0.6,0.75,5,7,Bacterial leaf blight,Ensure good drainage of fields (in conventionally flooded crops) and nurseries.,streptocyclin and agrimycin
Rice crops,40,0.5,0.7,0.45,0.54,6.2,7.2,Grain discoloration,Use of disease-free seeds that are selected from healthy crop.,"applying captan, captafol, fentin hydroxide, and mancozeb"
Rice crops,28,0.85,1,0.65,0.8,5.4,7.3,Sheath blight,"avoiding high seeding rates and excessive application of fertilizers, especially nitrogen","Carbendazim, Propiconazole, Benomyl, Iprodione,Validamycin and Polyoxin"
Rice crops,29,0.85,1,0.65,0.8,5.4,7.3,Sheath blight,"avoiding high seeding rates and excessive application of fertilizers, especially nitrogen","Carbendazim, Propiconazole, Benomyl, Iprodione,Validamycin and Polyoxin"
Rice crops,30,0.85,1,0.65,0.8,5.4,7.3,Sheath blight,"avoiding high seeding rates and excessive application of fertilizers, especially nitrogen","Carbendazim, Propiconazole, Benomyl, Iprodione,Validamycin and Polyoxin"
Rice crops,31,0.85,1,0.65,0.8,5.4,7.3,Sheath blight,"avoiding high seeding rates and excessive application of fertilizers, especially nitrogen","Carbendazim, Propiconazole, Benomyl, Iprodione,Validamycin and Polyoxin"
Rice crops,32,0.85,1,0.65,0.8,5.4,7.3,Sheath blight,"avoiding high seeding rates and excessive application of fertilizers, especially nitrogen","Carbendazim, Propiconazole, Benomyl, Iprodione,Validamycin and Polyoxin"
Rice crops,30,0.95,1,0.8,1,4.8,6,Bacterial panicle blight (BPB),Plant early to avoid the disease in most years,quinolone antibiotic oxolinic acid
Rice crops,31,0.95,1,0.8,1,4.8,6,Bacterial panicle blight (BPB),Plant early to avoid the disease in most years,quinolone antibiotic oxolinic acid
Rice crops,32,0.95,1,0.8,1,4.8,6,Bacterial panicle blight (BPB),Plant early to avoid the disease in most years,quinolone antibiotic oxolinic acid
Rice crops,33,0.95,1,0.8,1,4.8,6,Bacterial panicle blight (BPB),Plant early to avoid the disease in most years,quinolone antibiotic oxolinic acid
Rice crops,34,0.95,1,0.8,1,4.8,6,Bacterial panicle blight (BPB),Plant early to avoid the disease in most years,quinolone antibiotic oxolinic acid
Rice crops,35,0.95,1,0.8,1,4.8,6,Bacterial panicle blight (BPB),Plant early to avoid the disease in most years,quinolone antibiotic oxolinic acid
Rice crops,25,0.95,0.95,0.25,0.4,6.02,6.72,False Smut,"Remove infected seeds, panicles, and plant debris after harvest.","captan, captafol, fentin hydroxide, and mancozeb"
Rice crops,26,0.95,0.95,0.25,0.4,6.02,6.72,False Smut,"Remove infected seeds, panicles, and plant debris after harvest.","captan, captafol, fentin hydroxide, and mancozeb"
Rice crops,27,0.95,0.95,0.25,0.4,6.02,6.72,False Smut,"Remove infected seeds, panicles, and plant debris after harvest.","captan, captafol, fentin hydroxide, and mancozeb"
Rice crops,28,0.95,0.95,0.25,0.4,6.02,6.72,False Smut,"Remove infected seeds, panicles, and plant debris after harvest.","captan, captafol, fentin hydroxide, and mancozeb"
Rice crops,29,0.95,0.95,0.25,0.4,6.02,6.72,False Smut,"Remove infected seeds, panicles, and plant debris after harvest.","captan, captafol, fentin hydroxide, and mancozeb"
Rice crops,30,0.95,0.95,0.25,0.4,6.02,6.72,False Smut,"Remove infected seeds, panicles, and plant debris after harvest.","captan, captafol, fentin hydroxide, and mancozeb"
Rice crops,31,0.95,0.95,0.25,0.4,6.02,6.72,False Smut,"Remove infected seeds, panicles, and plant debris after harvest.","captan, captafol, fentin hydroxide, and mancozeb"
Rice crops,32,0.95,0.95,0.25,0.4,6.02,6.72,False Smut,"Remove infected seeds, panicles, and plant debris after harvest.","captan, captafol, fentin hydroxide, and mancozeb"
Rice crops,16,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
Rice crops,17,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
Rice crops,18,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
Rice crops,19,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
Rice crops,20,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
Rice crops,21,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
Rice crops,22,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
Rice crops,23,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
Rice crops,24,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
Rice crops,25,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
Rice crops,26,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
Rice crops,27,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
Rice crops,28,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
Rice crops,29,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
Rice crops,30,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
Rice crops,31,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
Rice crops,32,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
Rice crops,33,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
Rice crops,34,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
Rice crops,35,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
Rice crops,36,0.86,1,0.69,0.9,5,6.2,Brown Spot,Monitor fields for signs of the disease from the tillering stage,"iprodione, propiconazole, azoxystrobin, trifloxystrobin"
Rice crops,30,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants,Application of kasugamycin and aminooxyacetic acid (AOA),kasugamycin and aminooxyacetic acid (AOA)
Rice crops,31,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants,Application of kasugamycin and aminooxyacetic acid (AOA),kasugamycin and aminooxyacetic acid (AOA)
Rice crops,32,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants,Application of kasugamycin and aminooxyacetic acid (AOA),kasugamycin and aminooxyacetic acid (AOA)
Rice crops,33,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants,Application of kasugamycin and aminooxyacetic acid (AOA),kasugamycin and aminooxyacetic acid (AOA)
Rice crops,34,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants,Application of kasugamycin and aminooxyacetic acid (AOA),kasugamycin and aminooxyacetic acid (AOA)
Rice crops,35,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants,Application of kasugamycin and aminooxyacetic acid (AOA),kasugamycin and aminooxyacetic acid (AOA)
Rice crops,36,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants,Application of kasugamycin and aminooxyacetic acid (AOA),kasugamycin and aminooxyacetic acid (AOA)
Rice crops,10,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants,Application of kasugamycin and aminooxyacetic acid (AOA),kasugamycin and aminooxyacetic acid (AOA)
Rice crops,11,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants,Application of kasugamycin and aminooxyacetic acid (AOA),kasugamycin and aminooxyacetic acid (AOA)
Rice crops,12,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants,Application of kasugamycin and aminooxyacetic acid (AOA),kasugamycin and aminooxyacetic acid (AOA)
Rice crops,13,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants,Application of kasugamycin and aminooxyacetic acid (AOA),kasugamycin and aminooxyacetic acid (AOA)
Rice crops,14,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants,Application of kasugamycin and aminooxyacetic acid (AOA),kasugamycin and aminooxyacetic acid (AOA)
Rice crops,15,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants,Application of kasugamycin and aminooxyacetic acid (AOA),kasugamycin and aminooxyacetic acid (AOA)
Rice crops,16,0.6,0.85,0.22,0.39,4.5,5.5,Sterility in Rice Plants,Application of kasugamycin and aminooxyacetic acid (AOA),kasugamycin and aminooxyacetic acid (AOA)
Rice crops,28,0.9,0.9,0.78,0.92,6.4,7,Tungro,Schedule the planting to ensure nearly synchronous growth in each area.,Insecticides based on buprofezin or pymetrozine
Rice crops,29,0.9,0.9,0.78,0.92,6.4,7,Tungro,Schedule the planting to ensure nearly synchronous growth in each area.,Insecticides based on buprofezin or pymetrozine
Rice crops,30,0.9,0.9,0.78,0.92,6.4,7,Tungro,Schedule the planting to ensure nearly synchronous growth in each area.,Insecticides based on buprofezin or pymetrozine
Rice crops,31,0.9,0.9,0.78,0.92,6.4,7,Tungro,Schedule the planting to ensure nearly synchronous growth in each area.,Insecticides based on buprofezin or pymetrozine
Rice crops,32,0.9,0.9,0.78,0.92,6.4,7,Tungro,Schedule the planting to ensure nearly synchronous growth in each area.,Insecticides based on buprofezin or pymetrozine
Rice crops,28,0.9,0.9,0.75,0.9,5.5,6.5,Sheath Rot,"Minimize insect infestation in rice field, remove infected stubles after harvest, use optimum plant spacing, apply polash at tillering stage",Mancozeb and Benomyl
Rice crops,29,0.9,0.9,0.75,0.9,5.5,6.5,Sheath Rot,"Minimize insect infestation in rice field, remove infected stubles after harvest, use optimum plant spacing, apply polash at tillering stage",Mancozeb and Benomyl
Rice crops,30,0.9,0.9,0.75,0.9,5.5,6.5,Sheath Rot,"Minimize insect infestation in rice field, remove infected stubles after harvest, use optimum plant spacing, apply polash at tillering stage",Mancozeb and Benomyl
Rice crops,31,0.9,0.9,0.75,0.9,5.5,6.5,Sheath Rot,"Minimize insect infestation in rice field, remove infected stubles after harvest, use optimum plant spacing, apply polash at tillering stage",Mancozeb and Benomyl
Rice crops,32,0.9,0.9,0.75,0.9,5.5,6.5,Sheath Rot,"Minimize insect infestation in rice field, remove infected stubles after harvest, use optimum plant spacing, apply polash at tillering stage",Mancozeb and Benomyl
Rice crops,30,0.85,0.85,0.68,0.73,5,6.5,Stem Rot,"Use resistant cultivars, burn straw and stubble or any crop residue after harvest","validamycin, hexaconazole, propiconazole and thiophanate methyl "
Rice crops,31,0.85,0.85,0.68,0.73,5,6.5,Stem Rot,"Use resistant cultivars, burn straw and stubble or any crop residue after harvest","validamycin, hexaconazole, propiconazole and thiophanate methyl "
Rice crops,32,0.85,0.85,0.68,0.73,5,6.5,Stem Rot,"Use resistant cultivars, burn straw and stubble or any crop residue after harvest","validamycin, hexaconazole, propiconazole and thiophanate methyl "
Rice crops,13,0.85,1,0.88,0.95,7.5,8.5,Cold Injury,Application of ascorbic acid (AsA) and glutathione (GSH),ascorbic acid (AsA) and glutathione (GSH)
Rice crops,14,0.85,1,0.88,0.95,7.5,8.5,Cold Injury,Application of ascorbic acid (AsA) and glutathione (GSH),ascorbic acid (AsA) and glutathione (GSH)
Rice crops,15,0.85,1,0.88,0.95,7.5,8.5,Cold Injury,Application of ascorbic acid (AsA) and glutathione (GSH),ascorbic acid (AsA) and glutathione (GSH)
Rice crops,16,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV),"controlling grassy weeds, including volunteer cereals, within and near wheat production fields",imidacloprid
Rice crops,17,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV),"controlling grassy weeds, including volunteer cereals, within and near wheat production fields",imidacloprid
Rice crops,18,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV),"controlling grassy weeds, including volunteer cereals, within and near wheat production fields",imidacloprid
Rice crops,19,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV),"controlling grassy weeds, including volunteer cereals, within and near wheat production fields",imidacloprid
Rice crops,20,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV),"controlling grassy weeds, including volunteer cereals, within and near wheat production fields",imidacloprid
Rice crops,21,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV),"controlling grassy weeds, including volunteer cereals, within and near wheat production fields",imidacloprid
Rice crops,22,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV),"controlling grassy weeds, including volunteer cereals, within and near wheat production fields",imidacloprid
Rice crops,23,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV),"controlling grassy weeds, including volunteer cereals, within and near wheat production fields",imidacloprid
Rice crops,24,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV),"controlling grassy weeds, including volunteer cereals, within and near wheat production fields",imidacloprid
Rice crops,25,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV),"controlling grassy weeds, including volunteer cereals, within and near wheat production fields",imidacloprid
Rice crops,26,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV),"controlling grassy weeds, including volunteer cereals, within and near wheat production fields",imidacloprid
Rice crops,27,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV),"controlling grassy weeds, including volunteer cereals, within and near wheat production fields",imidacloprid
Rice crops,28,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV),"controlling grassy weeds, including volunteer cereals, within and near wheat production fields",imidacloprid
Rice crops,29,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV),"controlling grassy weeds, including volunteer cereals, within and near wheat production fields",imidacloprid
Rice crops,30,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV),"controlling grassy weeds, including volunteer cereals, within and near wheat production fields",imidacloprid
Rice crops,31,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV),"controlling grassy weeds, including volunteer cereals, within and near wheat production fields",imidacloprid
Rice crops,32,0.75,0.75,0.37,0.48,6,7,Yellow Dwarf Virus (YDV),"controlling grassy weeds, including volunteer cereals, within and near wheat production fields",imidacloprid
Rice crops,27,0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease,Clean seeds should be used to minimize the occurrence of the disease.,carbendazim 
Rice crops,28,0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease,Clean seeds should be used to minimize the occurrence of the disease.,carbendazim 
Rice crops,29,0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease,Clean seeds should be used to minimize the occurrence of the disease.,carbendazim 
Rice crops,30,0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease,Clean seeds should be used to minimize the occurrence of the disease.,carbendazim 
Rice crops,31,0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease,Clean seeds should be used to minimize the occurrence of the disease.,carbendazim 
Rice crops,32,0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease,Clean seeds should be used to minimize the occurrence of the disease.,carbendazim 
Rice crops,33,0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease,Clean seeds should be used to minimize the occurrence of the disease.,carbendazim 
Rice crops,34,0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease,Clean seeds should be used to minimize the occurrence of the disease.,carbendazim 
Rice crops,35,0.1,0.45,0.3,0.4,5.7,7,Bakanae Disease,Clean seeds should be used to minimize the occurrence of the disease.,carbendazim 
Rice crops,30,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald,Increase the spacing between plants during transplanting.,"benomyl, fentin acetate, edifenphos, and validamycin"
Rice crops,31,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald,Increase the spacing between plants during transplanting.,"benomyl, fentin acetate, edifenphos, and validamycin"
Rice crops,32,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald,Increase the spacing between plants during transplanting.,"benomyl, fentin acetate, edifenphos, and validamycin"
Rice crops,33,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald,Increase the spacing between plants during transplanting.,"benomyl, fentin acetate, edifenphos, and validamycin"
Rice crops,34,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald,Increase the spacing between plants during transplanting.,"benomyl, fentin acetate, edifenphos, and validamycin"
Rice crops,35,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald,Increase the spacing between plants during transplanting.,"benomyl, fentin acetate, edifenphos, and validamycin"
Rice crops,36,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald,Increase the spacing between plants during transplanting.,"benomyl, fentin acetate, edifenphos, and validamycin"
Rice crops,37,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald,Increase the spacing between plants during transplanting.,"benomyl, fentin acetate, edifenphos, and validamycin"
Rice crops,38,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald,Increase the spacing between plants during transplanting.,"benomyl, fentin acetate, edifenphos, and validamycin"
Rice crops,20,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies,Early seedlings transplant within 14 days of germination with increased spacing. Remove weeds before and immediately after transplanting and avoid panicle-only harvesting.,Sulfur pesticides
Rice crops,21,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies,Early seedlings transplant within 14 days of germination with increased spacing. Remove weeds before and immediately after transplanting and avoid panicle-only harvesting.,Sulfur pesticides
Rice crops,22,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies,Early seedlings transplant within 14 days of germination with increased spacing. Remove weeds before and immediately after transplanting and avoid panicle-only harvesting.,Sulfur pesticides
Rice crops,23,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies,Early seedlings transplant within 14 days of germination with increased spacing. Remove weeds before and immediately after transplanting and avoid panicle-only harvesting.,Sulfur pesticides
Rice crops,24,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies,Early seedlings transplant within 14 days of germination with increased spacing. Remove weeds before and immediately after transplanting and avoid panicle-only harvesting.,Sulfur pesticides
Rice crops,25,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies,Early seedlings transplant within 14 days of germination with increased spacing. Remove weeds before and immediately after transplanting and avoid panicle-only harvesting.,Sulfur pesticides
Rice crops,26,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies,Early seedlings transplant within 14 days of germination with increased spacing. Remove weeds before and immediately after transplanting and avoid panicle-only harvesting.,Sulfur pesticides
Rice crops,27,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies,Early seedlings transplant within 14 days of germination with increased spacing. Remove weeds before and immediately after transplanting and avoid panicle-only harvesting.,Sulfur pesticides
Rice crops,28,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies,Early seedlings transplant within 14 days of germination with increased spacing. Remove weeds before and immediately after transplanting and avoid panicle-only harvesting.,Sulfur pesticides
Rice crops,29,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies,Early seedlings transplant within 14 days of germination with increased spacing. Remove weeds before and immediately after transplanting and avoid panicle-only harvesting.,Sulfur pesticides
Rice crops,30,0.8,1,0.8,0.88,7.5,10,Stalked‐eyed flies,Early seedlings transplant within 14 days of germination with increased spacing. Remove weeds before and immediately after transplanting and avoid panicle-only harvesting.,Sulfur pesticides
Rice crops,24,0.75,0.92,0.58,0.7,6.2,10,Rice hispa,Collect and destroy floating beetles after flooding in the rice nursery beds.,Spraying of methyl parathion 0.05% or Quinalphos 0.05%.
Rice crops,25,0.75,0.92,0.58,0.7,6.2,10,Rice hispa,Collect and destroy floating beetles after flooding in the rice nursery beds.,Spraying of methyl parathion 0.05% or Quinalphos 0.05%.
Rice crops,26,0.75,0.92,0.58,0.7,6.2,10,Rice hispa,Collect and destroy floating beetles after flooding in the rice nursery beds.,Spraying of methyl parathion 0.05% or Quinalphos 0.05%.
Rice crops,27,0.75,0.92,0.58,0.7,6.2,10,Rice hispa,Collect and destroy floating beetles after flooding in the rice nursery beds.,Spraying of methyl parathion 0.05% or Quinalphos 0.05%.
Rice crops,28,0.75,0.92,0.58,0.7,6.2,10,Rice hispa,Collect and destroy floating beetles after flooding in the rice nursery beds.,Spraying of methyl parathion 0.05% or Quinalphos 0.05%.
Rice crops,29,0.75,0.92,0.58,0.7,6.2,10,Rice hispa,Collect and destroy floating beetles after flooding in the rice nursery beds.,Spraying of methyl parathion 0.05% or Quinalphos 0.05%.
Rice crops,30,0.75,0.92,0.58,0.7,6.2,10,Rice hispa,Collect and destroy floating beetles after flooding in the rice nursery beds.,Spraying of methyl parathion 0.05% or Quinalphos 0.05%.
Rice crops,31,0.75,0.92,0.58,0.7,6.2,10,Rice hispa,Collect and destroy floating beetles after flooding in the rice nursery beds.,Spraying of methyl parathion 0.05% or Quinalphos 0.05%.
Rice crops,32,0.75,0.92,0.58,0.7,6.2,10,Rice hispa,Collect and destroy floating beetles after flooding in the rice nursery beds.,Spraying of methyl parathion 0.05% or Quinalphos 0.05%.
Rice crops,33,0.75,0.92,0.58,0.7,6.2,10,Rice hispa,Collect and destroy floating beetles after flooding in the rice nursery beds.,Spraying of methyl parathion 0.05% or Quinalphos 0.05%.
Rice crops,34,0.75,0.92,0.58,0.7,6.2,10,Rice hispa,Collect and destroy floating beetles after flooding in the rice nursery beds.,Spraying of methyl parathion 0.05% or Quinalphos 0.05%.
Rice crops,20,0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs,Spray them with a strong blast of water to dislodge nymphs from the plants,Bifenthrin found in Bifen XTS
Rice crops,21,0.6,0.8,0.75,0.9,6.8,7,Froghopper or Spittlebugs,Spray them with a strong blast of water to dislodge nymphs from the plants,Bifenthrin found in Bifen XTS
